utterance,cypher
Who directed the movie 'Birdman'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Birdman'}) RETURN d.name AS director;
Find all people born in 1980.,MATCH (p:Person) WHERE p.born = 1980 RETURN p.name AS person;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
Who follows Tessa Thompson?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Tessa Thompson'}) RETURN follower.name AS follower;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List all movies released in 2012.,MATCH (m:Movie) WHERE m.released = 2012 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2012.,MATCH (p:Person) WHERE p.born = 2012 RETURN p.name AS person;
Show me movies whose title contains the word 'dark'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'dark' RETURN m.title AS title, m.released AS year;"
Find all people born in 1977.,MATCH (p:Person) WHERE p.born = 1977 RETURN p.name AS person;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'Whiplash'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Whiplash'}) RETURN p.name AS actor;
Find all people born in 2008.,MATCH (p:Person) WHERE p.born = 2008 RETURN p.name AS person;
Who directed the movie 'Memento'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Memento'}) RETURN d.name AS director;
Who directed the movie 'Spirited Away'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Spirited Away'}) RETURN d.name AS director;
Find all people born in 2002.,MATCH (p:Person) WHERE p.born = 2002 RETURN p.name AS person;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
List all movies released in 1975.,MATCH (m:Movie) WHERE m.released = 1975 RETURN m.title AS title;
List actors who have acted with Ryan Gosling.,MATCH (p1:Person {name: 'Ryan Gosling'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List all movies released in 1970.,MATCH (m:Movie) WHERE m.released = 1970 RETURN m.title AS title;
How many movies has Regina King acted in?,MATCH (:Person {name: 'Regina King'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which actors acted in 'Spirited Away'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Spirited Away'}) RETURN p.name AS actor;
Find all people born in 1980.,MATCH (p:Person) WHERE p.born = 1980 RETURN p.name AS person;
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List all movies released in 1977.,MATCH (m:Movie) WHERE m.released = 1977 RETURN m.title AS title;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
Which actors acted in 'Coco'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Coco'}) RETURN p.name AS actor;
List all movies released in 2023.,MATCH (m:Movie) WHERE m.released = 2023 RETURN m.title AS title;
How many movies has Ana de Armas acted in?,MATCH (:Person {name: 'Ana de Armas'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'Blade Runner 2049'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Blade Runner 2049'}) RETURN p.name AS actor;
Which actors acted in 'Inception'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Inception'}) RETURN p.name AS actor;
Find all people born in 1993.,MATCH (p:Person) WHERE p.born = 1993 RETURN p.name AS person;
List all movies released in 1992.,MATCH (m:Movie) WHERE m.released = 1992 RETURN m.title AS title;
Who directed the movie 'Saving Private Ryan'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Saving Private Ryan'}) RETURN d.name AS director;
Show me movies whose title contains the word 'night'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'night' RETURN m.title AS title, m.released AS year;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List actors who have acted with Daniel Kaluuya.,MATCH (p1:Person {name: 'Daniel Kaluuya'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'Saving Private Ryan'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Saving Private Ryan'}) RETURN p.name AS actor;
Which actors acted in 'Jurassic Park'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Jurassic Park'}) RETURN p.name AS actor;
List actors who have acted with Scarlett Johansson.,MATCH (p1:Person {name: 'Scarlett Johansson'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'Memento'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Memento'}) RETURN p.name AS actor;
List actors who have acted with Emily Blunt.,MATCH (p1:Person {name: 'Emily Blunt'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who directed the movie 'Whiplash'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Whiplash'}) RETURN d.name AS director;
Which actors acted in 'Interstellar'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Interstellar'}) RETURN p.name AS actor;
List actors who have acted with Leonardo DiCaprio.,MATCH (p1:Person {name: 'Leonardo DiCaprio'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which movies feature at least 6 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 6 RETURN m.title AS title, actorCount;"
Who directed the movie 'Gravity'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Gravity'}) RETURN d.name AS director;
How many movies has Harrison Ford acted in?,MATCH (:Person {name: 'Harrison Ford'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Who directed the movie 'Star Wars: A New Hope'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Star Wars: A New Hope'}) RETURN d.name AS director;
List all movies released in 2012.,MATCH (m:Movie) WHERE m.released = 2012 RETURN m.title AS title;
Who directed the movie 'Django Unchained'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Django Unchained'}) RETURN d.name AS director;
How many movies has Ryan Gosling acted in?,MATCH (:Person {name: 'Ryan Gosling'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Find all people born in 1992.,MATCH (p:Person) WHERE p.born = 1992 RETURN p.name AS person;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List actors who have acted with John Boyega.,MATCH (p1:Person {name: 'John Boyega'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
How many movies has Scarlett Johansson acted in?,MATCH (:Person {name: 'Scarlett Johansson'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show me movies whose title contains the word 'night'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'night' RETURN m.title AS title, m.released AS year;"
Which actors acted in 'Up'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Up'}) RETURN p.name AS actor;
Find all people born in 1972.,MATCH (p:Person) WHERE p.born = 1972 RETURN p.name AS person;
Show me movies whose title contains the word 'war'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'war' RETURN m.title AS title, m.released AS year;"
List actors who have acted with Denzel Washington.,MATCH (p1:Person {name: 'Denzel Washington'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Margot Robbie acted in?,MATCH (:Person {name: 'Margot Robbie'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Who follows Mark Ruffalo?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Mark Ruffalo'}) RETURN follower.name AS follower;
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
Who follows Anne Hathaway?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Anne Hathaway'}) RETURN follower.name AS follower;
Find all people born in 1972.,MATCH (p:Person) WHERE p.born = 1972 RETURN p.name AS person;
List actors who have acted with Tom Hanks.,MATCH (p1:Person {name: 'Tom Hanks'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who directed the movie 'Birdman'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Birdman'}) RETURN d.name AS director;
List actors who have acted with Keanu Reeves.,MATCH (p1:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Daniel Kaluuya acted in?,MATCH (:Person {name: 'Daniel Kaluuya'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
How many movies has Emily Blunt acted in?,MATCH (:Person {name: 'Emily Blunt'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
Find all people born in 2002.,MATCH (p:Person) WHERE p.born = 2002 RETURN p.name AS person;
Find all people born in 2012.,MATCH (p:Person) WHERE p.born = 2012 RETURN p.name AS person;
List actors who have acted with Priyanka Chopra.,MATCH (p1:Person {name: 'Priyanka Chopra'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List actors who have acted with Oscar Isaac.,MATCH (p1:Person {name: 'Oscar Isaac'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Find all people born in 2005.,MATCH (p:Person) WHERE p.born = 2005 RETURN p.name AS person;
Which actors acted in 'Avatar'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Avatar'}) RETURN p.name AS actor;
List actors who have acted with Emily Blunt.,MATCH (p1:Person {name: 'Emily Blunt'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List actors who have acted with John Boyega.,MATCH (p1:Person {name: 'John Boyega'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
"Which actors acted in 'Monsters, Inc.'?","MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Monsters, Inc.'}) RETURN p.name AS actor;"
Who follows Harrison Ford?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Harrison Ford'}) RETURN follower.name AS follower;
List actors who have acted with Zendaya.,MATCH (p1:Person {name: 'Zendaya'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List all movies released in 1989.,MATCH (m:Movie) WHERE m.released = 1989 RETURN m.title AS title;
Find all people born in 1983.,MATCH (p:Person) WHERE p.born = 1983 RETURN p.name AS person;
List actors who have acted with Ana de Armas.,MATCH (p1:Person {name: 'Ana de Armas'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who follows Tessa Thompson?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Tessa Thompson'}) RETURN follower.name AS follower;
How many movies has Gal Gadot acted in?,MATCH (:Person {name: 'Gal Gadot'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
Who directed the movie 'The Grand Budapest Hotel'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Grand Budapest Hotel'}) RETURN d.name AS director;
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
Show me movies whose title contains the word 'night'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'night' RETURN m.title AS title, m.released AS year;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who follows Will Smith?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Will Smith'}) RETURN follower.name AS follower;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'Mad Max: Fury Road'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Mad Max: Fury Road'}) RETURN d.name AS director;
Who directed the movie 'Avatar'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Avatar'}) RETURN d.name AS director;
Which actors acted in 'The Godfather'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Godfather'}) RETURN p.name AS actor;
List all movies released in 1985.,MATCH (m:Movie) WHERE m.released = 1985 RETURN m.title AS title;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
Who follows Anne Hathaway?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Anne Hathaway'}) RETURN follower.name AS follower;
List actors who have acted with Hugh Jackman.,MATCH (p1:Person {name: 'Hugh Jackman'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List actors who have acted with Sandra Bullock.,MATCH (p1:Person {name: 'Sandra Bullock'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'Princess Mononoke'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Princess Mononoke'}) RETURN p.name AS actor;
List all movies released in 2018.,MATCH (m:Movie) WHERE m.released = 2018 RETURN m.title AS title;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
List actors who have acted with George Clooney.,MATCH (p1:Person {name: 'George Clooney'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'Inside Out'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Inside Out'}) RETURN p.name AS actor;
Which movies feature at least 3 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 3 RETURN m.title AS title, actorCount;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who directed the movie 'Forrest Gump'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Forrest Gump'}) RETURN d.name AS director;
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
Which movies feature at least 8 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 8 RETURN m.title AS title, actorCount;"
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
Find all people born in 2018.,MATCH (p:Person) WHERE p.born = 2018 RETURN p.name AS person;
Who directed the movie 'Spirited Away'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Spirited Away'}) RETURN d.name AS director;
Find all people born in 2019.,MATCH (p:Person) WHERE p.born = 2019 RETURN p.name AS person;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 6 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 6 RETURN m.title AS title, actorCount;"
Find all people born in 1998.,MATCH (p:Person) WHERE p.born = 1998 RETURN p.name AS person;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
Find all people born in 1985.,MATCH (p:Person) WHERE p.born = 1985 RETURN p.name AS person;
Find all people born in 1991.,MATCH (p:Person) WHERE p.born = 1991 RETURN p.name AS person;
How many movies has Timothee Chalamet acted in?,MATCH (:Person {name: 'Timothee Chalamet'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show me movies whose title contains the word 'dark'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'dark' RETURN m.title AS title, m.released AS year;"
Which actors acted in 'Star Wars: A New Hope'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Star Wars: A New Hope'}) RETURN p.name AS actor;
List actors who have acted with Oscar Isaac.,MATCH (p1:Person {name: 'Oscar Isaac'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'The Lord of the Rings: The Fellowship of the Ring'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Lord of the Rings: The Fellowship of the Ring'}) RETURN p.name AS actor;
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
List actors who have acted with Will Smith.,MATCH (p1:Person {name: 'Will Smith'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
List all movies released in 1983.,MATCH (m:Movie) WHERE m.released = 1983 RETURN m.title AS title;
List actors who have acted with Cate Blanchett.,MATCH (p1:Person {name: 'Cate Blanchett'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who follows Oscar Isaac?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Oscar Isaac'}) RETURN follower.name AS follower;
List all movies released in 2024.,MATCH (m:Movie) WHERE m.released = 2024 RETURN m.title AS title;
Who follows Cate Blanchett?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Cate Blanchett'}) RETURN follower.name AS follower;
Which movies feature at least 3 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 3 RETURN m.title AS title, actorCount;"
How many movies has Harrison Ford acted in?,MATCH (:Person {name: 'Harrison Ford'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List actors who have acted with Joaquin Phoenix.,MATCH (p1:Person {name: 'Joaquin Phoenix'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who follows George Clooney?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'George Clooney'}) RETURN follower.name AS follower;
Which movies feature at least 6 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 6 RETURN m.title AS title, actorCount;"
Find all people born in 1997.,MATCH (p:Person) WHERE p.born = 1997 RETURN p.name AS person;
Which movies feature at least 3 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 3 RETURN m.title AS title, actorCount;"
List actors who have acted with Will Smith.,MATCH (p1:Person {name: 'Will Smith'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List actors who have acted with Paul Rudd.,MATCH (p1:Person {name: 'Paul Rudd'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which actors acted in 'Gravity'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Gravity'}) RETURN p.name AS actor;
"Which actors acted in 'Monsters, Inc.'?","MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Monsters, Inc.'}) RETURN p.name AS actor;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List all movies released in 1995.,MATCH (m:Movie) WHERE m.released = 1995 RETURN m.title AS title;
Who follows Florence Pugh?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Florence Pugh'}) RETURN follower.name AS follower;
List all movies released in 1975.,MATCH (m:Movie) WHERE m.released = 1975 RETURN m.title AS title;
List actors who have acted with Angelina Jolie.,MATCH (p1:Person {name: 'Angelina Jolie'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
List all movies released in 1986.,MATCH (m:Movie) WHERE m.released = 1986 RETURN m.title AS title;
List actors who have acted with Priyanka Chopra.,MATCH (p1:Person {name: 'Priyanka Chopra'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who directed the movie 'Gravity'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Gravity'}) RETURN d.name AS director;
How many movies has Will Smith acted in?,MATCH (:Person {name: 'Will Smith'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List actors who have acted with Ryan Gosling.,MATCH (p1:Person {name: 'Ryan Gosling'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List actors who have acted with Jennifer Lawrence.,MATCH (p1:Person {name: 'Jennifer Lawrence'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
List all movies released in 2017.,MATCH (m:Movie) WHERE m.released = 2017 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List all movies released in 1992.,MATCH (m:Movie) WHERE m.released = 1992 RETURN m.title AS title;
Who directed the movie 'Princess Mononoke'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Princess Mononoke'}) RETURN d.name AS director;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
List all movies released in 2018.,MATCH (m:Movie) WHERE m.released = 2018 RETURN m.title AS title;
List all movies released in 1985.,MATCH (m:Movie) WHERE m.released = 1985 RETURN m.title AS title;
Who directed the movie 'The Godfather'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Godfather'}) RETURN d.name AS director;
Who follows Robert Downey Jr.?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Robert Downey Jr.'}) RETURN follower.name AS follower;
Who directed the movie 'The Dark Knight'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Dark Knight'}) RETURN d.name AS director;
